"ID","survey","country","year","field_latitude","field_longitude","plant_date","harvest_date","gs_length","yield_kg_ph","hybrid","intercrop","esa_avg","chirps_sum","era_temp_mean_avg","era_temp_min_avg","era_temp_max_avg","kdd_event","kdd_result","N_kg_ph"
"ID_00083","Burundi_2017","Burundi",2017,-3.347786427,29.78472519,"2016-10-05","2017-03-02",148,828.15363,0,1,0.311665216133795,628.249862909317,20.1708264789066,16.0006958007813,24.6676220043285,0,0,6.00000048
"ID_00084","Burundi_2017","Burundi",2017,-3.500564098,29.76130676,"2016-10-12","2017-01-28",108,3179.3467,0,1,0.323413541806596,484.662048578262,20.0952413299938,15.9194964373553,24.432684552228,0,0,8.00000046
"ID_00085","Burundi_2017","Burundi",2017,-3.215111017,29.98151588,"2016-11-25","2017-04-04",130,2646.7349,1,0,0.329565405168317,625.009777545929,19.2224444169265,15.0272601787861,23.977490234375,0,0,14.99999904
"ID_00086","Burundi_2017","Burundi",2017,-3.181005955,29.69099426,"2016-10-20","2017-02-20",123,2355.6001,0,1,0.343611661532913,616.546059846878,19.7958219429988,15.9733627195281,24.3680842701982,0,0,6.42857166
"ID_00087","Burundi_2017","Burundi",2017,-3.202976227,29.74083328,"2016-09-29","2017-01-30",123,3882.8572,0,1,0.341925702908988,560.00902557373,19.8885260853341,16.0483315072409,24.5515251841972,0,0,16.6666662
"ID_00088","Burundi_2017","Burundi",2017,-3.494215488,29.74509811,"2016-10-01","2017-01-19",110,2198.7798,0,1,0.372825466669523,560.756063222885,19.5288284764146,15.8831099076705,23.7414994673295,0,0,6.42857166
"ID_00089","Burundi_2017","Burundi",2017,-3.193766117,29.77128983,"2016-10-27","2017-02-06",102,1630.8,0,1,0.318722273881842,466.372273921966,20.0875637752558,15.8584970511642,24.5990617340686,0,0,5.95238094
"ID_00090","Burundi_2017","Burundi",2017,-3.337592363,29.67279434,"2016-09-17","2017-02-06",142,1364,0,1,0.373182127649865,713.732039451599,19.5395375766665,15.7214971408038,24.1047693386884,0,0,7.56302472
"ID_00091","Burundi_2017","Burundi",2017,-3.326981783,29.64352036,"2016-09-17","2017-02-09",145,1773.2001,0,1,0.373292313321777,755.875095844269,17.9884000142416,13.5725242877829,22.971923828125,0,0,9
"ID_00092","Burundi_2017","Burundi",2017,-3.301551342,29.80082321,"2016-10-05","2017-02-16",134,1502.1102,0,1,0.308412407501405,566.836214542389,20.2313433955558,16.0163217117537,24.7274468720849,0,0,3.9473685
"ID_00093","Burundi_2017","Burundi",2017,-3.525137663,29.73248863,"2016-10-10","2017-02-16",129,2672.4001,1,0,0.394774402181307,649.134391784668,19.6075774969057,15.8886037900466,23.8556265897529,0,0,12.4137927
