"RMSE","R2","cluster","r.e.","model"
1499.47068088325,0.0231783844000525,"Cluster 2","no random effect","ENV"
1490.09390617593,0.0252605174828971,"Cluster 2","no random effect","ENV"
1498.33262855273,0.0301433181883595,"Cluster 2","no random effect","ENV"
1486.97801393544,0.0173491326557221,"Cluster 2","no random effect","ENV"
1482.16289136521,0.0218815243426897,"Cluster 2","no random effect","ENV"
1498.94094745348,0.0179223963521484,"Cluster 2","no random effect","ENV"
1493.56224374688,0.0252183887938335,"Cluster 2","no random effect","ENV"
1499.25093043142,0.0264560500173969,"Cluster 2","no random effect","ENV"
1482.6691585403,0.0250101081030582,"Cluster 2","no random effect","ENV"
1559.74081894895,0.383108375959343,"Cluster 1","survey","ENV"
1663.27998041269,0.395309518962763,"Cluster 1","survey","ENV"
1587.6628785161,0.391806923020316,"Cluster 1","survey","ENV"
1597.29636156729,0.357444544519374,"Cluster 1","survey","ENV"
1604.42524152578,0.399108036403289,"Cluster 1","survey","ENV"
1559.08607435893,0.401834279174283,"Cluster 1","survey","ENV"
1589.6088293824,0.43509769350447,"Cluster 1","survey","ENV"
1626.97674766441,0.446707291240108,"Cluster 1","survey","ENV"
1580.30486713673,0.363088701245384,"Cluster 1","survey","ENV"
1492.68468242104,0.395209801399076,"Cluster 1","survey","ENV"
1651.27515724121,0.401021549641596,"Cluster 1","survey","ENV"
1686.43938309843,0.363694139029736,"Cluster 1","survey","ENV"
1679.53603228825,0.347647152145453,"Cluster 1","survey","ENV"
1692.39827332461,0.354851707063283,"Cluster 1","survey","ENV"
1572.87265013964,0.351820689177397,"Cluster 1","survey","ENV"
1519.97014801832,0.376096868341878,"Cluster 1","survey","ENV"
1758.96106787518,0.411095033640075,"Cluster 1","survey","ENV"
1676.01246129042,0.379429631227336,"Cluster 1","survey","ENV"
1612.85608432915,0.354536117647609,"Cluster 1","survey","ENV"
1698.20422799172,0.3515988143925,"Cluster 1","survey","ENV"
1568.06245346696,0.368579955149939,"Cluster 1","survey","ENV"
1503.66384933121,0.439664605561175,"Cluster 1","survey","ENV"
1684.78525271375,0.450491257885387,"Cluster 1","survey","ENV"
1658.46339839925,0.354210384966694,"Cluster 1","survey","ENV"
1647.20804125933,0.315809387684429,"Cluster 1","survey","ENV"
1635.19846428474,0.389797943897777,"Cluster 1","survey","ENV"
1606.1451595519,0.402537494686299,"Cluster 1","survey","ENV"
1548.42272848922,0.385703022392434,"Cluster 1","survey","ENV"
1585.72907622706,0.399107401625765,"Cluster 1","survey","ENV"
1662.74638133796,0.410912323335511,"Cluster 1","survey","ENV"
1520.23983440071,0.357244026470485,"Cluster 1","survey","ENV"
1700.7402103022,0.432879646933044,"Cluster 1","survey","ENV"
1493.77740916982,0.388848991967245,"Cluster 1","survey","ENV"
1697.68490876714,0.376040758769928,"Cluster 1","survey","ENV"
1640.55350900716,0.365446796914824,"Cluster 1","survey","ENV"
1660.48761338852,0.366418444555413,"Cluster 1","survey","ENV"
1549.41891663839,0.361861722386093,"Cluster 1","survey","ENV"
1557.83845448077,0.37244298961056,"Cluster 1","survey","ENV"
1598.07502555502,0.412496051172634,"Cluster 1","survey","ENV"
1519.90498913433,0.426819316325561,"Cluster 1","survey","ENV"
1502.02181327654,0.38401079523029,"Cluster 1","survey","ENV"
1564.75175957706,0.430632939982556,"Cluster 1","survey","ENV"
1669.09913767595,0.325032017697282,"Cluster 1","survey","ENV"
1536.59350830184,0.439559281463412,"Cluster 1","survey","ENV"
1548.800120404,0.365137688149387,"Cluster 1","survey","ENV"
1646.18671772261,0.428085575534405,"Cluster 1","survey","ENV"
1660.50138915357,0.359699547257749,"Cluster 1","survey","ENV"
1601.83499959385,0.431958205229669,"Cluster 1","survey","ENV"
1638.17740738144,0.381086743117379,"Cluster 1","survey","ENV"
1613.66469267675,0.395602711426617,"Cluster 1","survey","ENV"
1711.68768556559,0.356078414387726,"Cluster 1","survey","ENV"
1657.96762635556,0.387865459984855,"Cluster 1","survey","ENV"
1525.32695855641,0.365533407550619,"Cluster 1","survey","ENV"
1777.15536543408,0.397124651836369,"Cluster 1","survey","ENV"
1720.73223462804,0.425468857629039,"Cluster 1","survey","ENV"
1587.45099046808,0.346330227631849,"Cluster 1","survey","ENV"
1648.94234413521,0.344678068482707,"Cluster 1","survey","ENV"
1668.6099855733,0.389454054897543,"Cluster 1","survey","ENV"
1482.01163179613,0.411130362218825,"Cluster 1","survey","ENV"
1637.95877894535,0.383983549268344,"Cluster 1","survey","ENV"
1530.1422954882,0.380558955782088,"Cluster 1","survey","ENV"
1598.62548776579,0.341254443764453,"Cluster 1","survey","ENV"
1458.45393571373,0.420800657651577,"Cluster 1","survey","ENV"
1567.06276230567,0.337195809478175,"Cluster 1","survey","ENV"
1620.44730662386,0.352446031660549,"Cluster 1","survey","ENV"
1541.37008979876,0.350572842689769,"Cluster 1","survey","ENV"
1680.13439591488,0.319428702214295,"Cluster 1","survey","ENV"
1682.73146157553,0.293160160455471,"Cluster 1","survey","ENV"
1558.9618422402,0.357786728512312,"Cluster 1","survey","ENV"
1573.64528939944,0.376196327991976,"Cluster 1","survey","ENV"
1576.75231630856,0.407489567731846,"Cluster 1","survey","ENV"
1631.86262350409,0.365422672467422,"Cluster 1","survey","ENV"
1479.01674804099,0.380845160722066,"Cluster 1","survey","ENV"
1627.58989911648,0.431897093196058,"Cluster 1","survey","ENV"
1632.33516053518,0.384628839456509,"Cluster 1","survey","ENV"
1592.35201545604,0.340333738028282,"Cluster 1","survey","ENV"
1630.39553867722,0.349559246492656,"Cluster 1","survey","ENV"
1675.09339750806,0.375797615588579,"Cluster 1","survey","ENV"
1540.03955268346,0.355404195742713,"Cluster 1","survey","ENV"
1749.58285939895,0.469124719485371,"Cluster 1","survey","ENV"
1528.17136406089,0.344949988024995,"Cluster 1","survey","ENV"
1547.28301264826,0.355222859413981,"Cluster 1","survey","ENV"
1571.87415634198,0.387170065602804,"Cluster 1","survey","ENV"
1500.21706865278,0.431241455247004,"Cluster 1","survey","ENV"
1557.95145064934,0.35180096412978,"Cluster 1","survey","ENV"
1712.97320016461,0.427192002617972,"Cluster 1","survey","ENV"
1663.29883473392,0.384218058711566,"Cluster 1","survey","ENV"
1782.97942257362,0.406968150802318,"Cluster 1","survey","ENV"
1700.89493718152,0.363546031062649,"Cluster 1","survey","ENV"
1627.07324773641,0.378553837992466,"Cluster 1","survey","ENV"
1500.4153249978,0.402970927728551,"Cluster 1","survey","ENV"
1581.21825724842,0.407739831654067,"Cluster 1","survey","ENV"
1551.18392625457,0.455513405785604,"Cluster 1","survey","ENV"
1539.82942981248,0.395701829877987,"Cluster 1","survey","ENV"
1526.45957050731,0.370339599766721,"Cluster 1","survey","ENV"
1654.99986688712,0.398204248749916,"Cluster 1","survey","ENV"
1628.69437847244,0.337234765666269,"Cluster 1","survey","ENV"
1625.19240324528,0.426617710171793,"Cluster 1","survey","ENV"
1651.81194348148,0.375143682372373,"Cluster 1","survey","ENV"
1564.36217445182,0.370540442445635,"Cluster 1","survey","ENV"
1418.45820683847,0.0745842755810419,"Cluster 2","survey","ENV"
1443.05993514664,0.0720769472418844,"Cluster 2","survey","ENV"
1446.95885473634,0.0840906061761781,"Cluster 2","survey","ENV"
1443.94626377324,0.0850436827862572,"Cluster 2","survey","ENV"
1466.35543687052,0.0895102647104308,"Cluster 2","survey","ENV"
1446.96556981028,0.0818296643412575,"Cluster 2","survey","ENV"
1439.11354731705,0.0716867063813014,"Cluster 2","survey","ENV"
1450.87622601345,0.072727172214521,"Cluster 2","survey","ENV"
1432.44499403419,0.0697841474816649,"Cluster 2","survey","ENV"
1461.77013179438,0.0681209877842357,"Cluster 2","survey","ENV"
1427.31477391427,0.088933243181179,"Cluster 2","survey","ENV"
1447.34164469183,0.087031800848036,"Cluster 2","survey","ENV"
1431.56727775145,0.0877295724425849,"Cluster 2","survey","ENV"
1450.74744860851,0.0707020216885586,"Cluster 2","survey","ENV"
1454.59275233373,0.0690087366799026,"Cluster 2","survey","ENV"
1435.60306234369,0.0919693008353713,"Cluster 2","survey","ENV"
